run_ts,skills_sha,harness_sha,model_id,arm,case,group,check_kind,reps,passes,pass_rate,median_turns,median_tokens
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,add-column-simple,add-column,outcome,1,1,1.0,8,253670
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,add-column-simple,add-column,routing,1,0,0.0,10,197146
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,add-column-vanilla-control,add-column,routing,1,0,0.0,10,327261
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,add-sql-transformation,sql-transformation,safety,1,1,1.0,12,317728
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,add-column-missing-source,add-column,routing,1,0,0.0,6,202287
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,create-stage-name-collision,create-stage-node,routing,1,0,0.0,5,158336
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,create-job,create-job,outcome,1,1,1.0,9,290258
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,create-stage-name-collision,create-stage-node,outcome,1,1,1.0,10,243348
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,create-stage-node,create-stage-node,outcome,1,1,1.0,10,359336
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,add-sql-transformation,sql-transformation,safety,1,1,1.0,19,834977
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,create-job,create-job,routing,1,0,0.0,18,440340
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,create-stage-node,create-stage-node,routing,1,0,0.0,12,322959
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,edw-engineering-activity,edw-build,safety,1,1,1.0,37,2943488
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,edw-product-metadata,edw-build,safety,1,1,1.0,33,2011599
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,edw-engineering-activity,edw-build,safety,1,1,1.0,46,3046698
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,profile-explore,profile,safety,1,1,1.0,11,172614
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,profile-explore,profile,safety,1,1,1.0,9,169419
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,8,256788
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,8,260936
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,skills,medallion-silver-layer,pipeline-build,routing,1,0,0.0,36,996210
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,medallion-silver-layer,pipeline-build,outcome,1,1,1.0,33,1792090
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,rename-node-cascade,rename-node,outcome,1,1,1.0,8,266291
